Id,Designator,Package,Quantity,Designation,Supplier and ref,Manufacturer Part Number or Seeed SKU,Description,alt,,,,,,,,,,
1,"U113,U109,U105,U101",LQFP-32_5x5mm_P0.5mm,4,ADS131M08,,ADS131M08IPBS,IC ADC 24BIT SIGMA-DELTA 32TQFP,,,,,,,,,,,
2,U1,Bosch_LGA-14_3x2.5mm_P0.5mm,1,LSM6DS3,,LSM6DSOXTR,IMU ACCEL/GYRO I2C/SPI 14TFLGA,LSM6DS3TR,LSM6DSRXTR,LSM6DSOXTR,,,,,,,,
3,"C38,C39,C1,C40,C2,C3,C37,C47,C50,C59,C43,C55,C42,C35,C63,C54,C62,C69,C56,C49,C44,C45,C36,C41,C60,C52,C25,C21,C20",C_0402_1005Metric,29,100n,,CL05B104KO5NNNC,CAP CER 0.1UF 16V X7R 0402,,,,,,,,,,,
4,"C66,C64",C_0402_1005Metric,2,CL1,,GRM1555C1H200JA01D,CAP CER 20PF 50V C0G/NP0 0402,,,,,,,,,,,
5,"C16,C17,C19,C18,C76,C53,C58,C75",C_0603_1608Metric,8,2.2u,,GRM188R71A225KE15D,CAP CER 2.2UF 10V 10% X7R 0603,,,,,,,,,,,
6,"R84,R85",R_0402_1005Metric,2,4k7,,RC0402JR-074K7L,RES 4.7K OHM 1/16W 5% 0402 SMD,,,,,,,,,,,
7,"R113,R114,R116,R115",R_0402_1005Metric,4,24,,RC0402FR-0724RL,RES SMD 24 OHM 1% 1/16W 0402,,,,,,,,,,,
8,"J104,J105,J100,J101",PinHeader_2x01_P2.54mm_Horizontal,4,Conn_01x02,,PRPC001DAAN-RC,CONN HEADER VERT 2POS,PRPC001DAAN-RC,TSW-101-07-F-D,,,,,,,,,
9,"U6,U22,U8",SOT-23-5,3,LP5907,,LP5907QMFX-3.3Q1,IC REG LINEAR 3.3V 250MA SOT23-5,ADP7118AUJZ-3.3-R7,,,,,,,,,,
10,Y2,Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering,1,16MHz,,7B-16.000MEEQ-T,CRYSTAL 16.0000MHZ 10PF SMD,,,,,,,,,,,
11,"C67,C65",C_0402_1005Metric,2,CL2,,GRM1555C1H200JA01D,CAP CER 20PF 50V C0G/NP0 0402,,,,,,,,,,,
